BL-DLA-2-AUDIT — Auditoría de éxito del serializador DLA-2
Ejecutado: 2026-05-24 12:46:50
project_root: C:\desarrollo\fondos
CSV:          C:\desarrollo\fondos\proyecto1\db\dla2_serializer_audit.csv
Log:          C:\desarrollo\fondos\proyecto1\db\dla2_serializer_audit.log

======================================================================
  MODO descarga (BD + Excel maestro)
======================================================================
  Excel maestro                           : C:\data\fondos\in\GestoresDeFondosv1.xlsx
  [175/3204] IE0009355771                 : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [176/3204] IE0009356076                 : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [177/3204] IE0009514989                 : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [178/3204] IE0009531827                 : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [179/3204] IE0009WDW8C2                 : FAIL_NONE      strat=none fmt=NONE
  [180/3204] IE0009X9LOF1                 : FAIL_NONE      strat=none fmt=NONE
  [181/3204] IE000AGOTQL9                 : FAIL_NONE      strat=none fmt=NONE
  [182/3204] IE000FFGBBP7                 : FAIL_NONE      strat=none fmt=NONE
  [183/3204] IE000J986523                 : FAIL_NONE      strat=none fmt=NONE
  [184/3204] IE000JACOT05                 : FAIL_NONE      strat=none fmt=NONE
  [185/3204] IE000JDQ7U74                 : FAIL_NONE      strat=pdfplumber fmt=NONE
  [186/3204] IE000JXUTJG7                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [187/3204] IE000KVUR007                 : FAIL_NONE      strat=none fmt=NONE
  [188/3204] IE000NGCG706                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [189/3204] IE000T1U29K2                 : FAIL_NONE      strat=none fmt=NONE
  [190/3204] IE000VOGDDG7                 : FAIL_NONE      strat=pdfplumber fmt=NONE
  [191/3204] IE000XOK9474                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [192/3204] IE0031069275                 : FAIL_NONE      strat=pdfplumber fmt=NONE
  [193/3204] IE0031069499                 : FAIL_NONE      strat=pdfplumber fmt=NONE
  [194/3204] IE0031080868                 : FAIL_NONE      strat=pdfplumber fmt=NONE
  [195/3204] IE0031296019                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [196/3204] IE0031786696                 : WARN_NO_OC     strat=heuristic_lines fmt=PCT
  [197/3204] IE0031787223                 : WARN_NO_OC     strat=heuristic_lines fmt=PCT
  [198/3204] IE0032125126                 : WARN_NO_OC     strat=heuristic_lines fmt=PCT
  [199/3204] IE0032126645                 : WARN_NO_OC     strat=heuristic_lines fmt=PCT
  [200/3204] IE0032568887                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [201/3204] IE0032593158                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [202/3204] IE0032620787                 : WARN_NO_OC     strat=heuristic_lines fmt=PCT
  [203/3204] IE0032875985                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [204/3204] IE0032876397                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [205/3204] IE0033386453                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [206/3204] IE0033609722                 : FAIL_NONE      strat=pdfplumber fmt=NONE
  [207/3204] IE0034085260                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [208/3204] IE0034277479                 : FAIL_NONE      strat=pdfplumber fmt=NONE
  [209/3204] IE00B0105X63                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [210/3204] IE00B0122Y20                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [211/3204] IE00B01FHV31                 : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [212/3204] IE00B03HCZ61                 : WARN_NO_OC     strat=heuristic_lines fmt=PCT
  [213/3204] IE00B03HD191                 : WARN_NO_OC     strat=heuristic_lines fmt=PCT
  [214/3204] IE00B03HD209                 : WARN_NO_OC     strat=heuristic_lines fmt=PCT
  [215/3204] IE00B03HD316                 : WARN_NO_OC     strat=heuristic_lines fmt=PCT
  [216/3204] IE00B04GQR24                 : WARN_NO_OC     strat=heuristic_lines fmt=PCT
  [217/3204] IE00B04GQT48                 : WARN_NO_OC     strat=heuristic_lines fmt=PCT
  [218/3204] IE00B04GQX83                 : WARN_NO_OC     strat=heuristic_lines fmt=PCT
